19,Guajará-Mirim,RO
27,ALTO ALEGRE DOS PARECIS,RO
35,Porto Velho,RO
43,BURITIS,RO
51,Ji-Paraná,RO
60,CHUPINGUAIA,RO
78,Ariquemes,RO
86,CUJUBIM,RO
94,Cacoal,RO
108,Nova União,RO
116,Pimenta Bueno,RO
124,PARECIS,RO
132,Vilhena,RO
140,PIMENTEIRAS DO OESTE,RO
159,Jaru,RO
167,PRIMAVERA DE RONDÔNIA,RO
175,Ouro Preto do Oeste,RO
183,SAO FELIPE D´OESTE,RO
191,Presidente Médici,RO
205,SÃO FRANCISCO DO GUAPORÉ,RO
213,Costa Marques,RO
221,TEIXEIROPOLIS,RO
230,Colorado do Oeste,RO
248,VALE DO ANARI,RO
256,ESPIGAO D´Oeste,RO
264,AMAJARI,RR
272,Cerejeiras,RO
280,CANTÁ,RR
299,Rolim de Moura,RO
302,CAROEBE,RR
310,Caldazinha,GO
329,IRACEMA,RR
337,Alta Florest D´Oeste,RO
345,PACARAIMA,RR
353,Alvorada D´Oeste,RO
361,Rorainopolis,RR
370,Cabixi,RO
388,UIRAMUTA,RR
396,Machadinho D´Oeste,RO
400,ANAPU,PA
418,Nova Brasilândia D´Oeste,RO
426,BANNACH,PA
434,Santa Luzia D´Oeste,RO
442,BELTERRA,PA
450,SAO MIGUEL DO GUAPORE,RO
469,CACHOEIRA DO PIRIA,PA
477,NOVA MAMORE,RO
485,CANAA DOS CARAJAS,PA
493,Jesúpolis,GO
507,CURUA,PA
515,Professor Jamil,GO
523,FLORESTA DO ARAGUAIA,PA
531,Santo Antônio de Goiás,GO
540,Marituba,PA
558,Cocalzinho de Goiás,GO
566,NOVA IPIXUNA,PA
574,Terezópolis de Goiás,GO
590,Uirapuru,GO
612,Buritinópolis,GO
620,QUATIPURU,PA
639,Buriti de Goiás,GO
655,Guaraita,GO
671,Vila Boa,GO
680,TRACUATEUA,PA
698,Inaciolândia,GO
701,VITORIA DO JARI,AP
710,Aparecida do Rio Doce,GO
736,Chapadão do Céu,GO
744,uruana de minas,MG
752,Perolândia,GO
760,MARATAIZES,ES
779,Cidade Ocidental,GO
795,Montividiu do Norte,GO
817,Castelândia,GO
833,Santo Antônio da Barra,GO
850,Alto Horizonte,GO
868,LAVANDEIRA,TO
876,Nova Iguaçú de Goiás,GO
884,LUZINOPOLIS,TO
892,Cotriguacu,MT
906,MONTE SANTO DO TOCANTINS,TO
914,Planalto da Serra,MT
930,São Pedro da Cipa,MT
949,Pugmil,TO
957,Pontal do Araguaia,MT
965,SANTA RITA DO TOCANTINS,TO
973,Querência,MT
990,Ribeirãozinho,MT
1015,Porto Estrela,MT
1023,TUPIRAMA,TO
1031,Nova Marilândia,MT
1040,AGUA DOCE DO MARANHAO,MA
1058,Brasiléia,AC
1066,ALTO ALEGRE DO MARANHAO,MA
1074,Cruzeiro do Sul,AC
1082,ALTO ALEGRE DO PINDARE,MA
1090,Mâncio Lima,AC
1112,Nova Maringá,MT
1120,APICUM-AÇU,MA
1139,Feijó,AC
1147,Araguanã,MA
1155,Santo Afonso,MT
1163,BACABEIRA,MA
1171,Nova Bandeirantes,MT
1180,BACURITUBA,MA
1198,Nova Monte Verde,MT
1210,Nova Guaritá,MT
1236,Santa Carmen,MT
1252,Tabapora,MT
1260,BOA VISTA DO GURUPI,MA
1279,Alto Boa Vista,MT
1287,BOM JESUS DAS SELVAS,MA
1295,Canabrava do Norte,MT
1317,Confresa,MT
1333,São José do Xingu,MT
1341,BURITICUPU,MA
1350,Glória D´Oeste,MT
1368,BURITIRANA,MA
1376,Lambári D´Oeste,MT
1392,Rio Branco,AC
1414,Alcinópolis,MS
1422,CAPINZAL DO NORTE,MA
1430,Nova Alvorada do Sul,MS
1449,CENTRAL DO MARANHÃO,MA
1457,Sena Madureira,AC
1473,Tarauacá,AC
1490,Xapuri,AC
1503,CIDENLÂNDIA,MA
1511,Plácido de Castro,AC
1520,CONCEICAO DO LAGO-ACU,MA
1538,Senador Guiomard,AC
1546,DAVINOPOLIS,MA
1554,Manoel Urbano,AC
1570,Assis Brasil,AC
1597,Novo Horizonte do Sul,MS
1600,Formosa da Serra Negra,MA
1619,Japorã,MS
1627,Governador Edson Lobão,MA
1635,Laguna Carapã,MS
1651,Angico,TO
1660,GOVERNADOR NEWTON BELLO,MA
1678,Aragominas,TO
1686,Governador Nunes Freire,MA
1694,Araguanã,TO
1708,IGARAPE DO MEIO,MA
1716,Cachoeirinha,TO
1724,ITAIPAVA DO GRAJAÚ,MA
1732,Campos Lindos,TO
1740,ITINGA DO MARANHAO,MA
1759,Carmolândia,TO
1775,Carrasco Bonito,TO
1791,Darcinópolis,TO
1805,JUNCO DO MARANHÃO,MA
1813,Esperantina,TO
1821,LAGOA DO MATO,MA
1830,Maurilândia do Tocantins,TO
1856,Mosquito,TO
1872,Muricilândia,TO
1899,Palmeirante,TO
1902,MARACAÇUMÉ,MA
1910,Pau D´Arco,TO
1937,Riachinho,TO
1945,MARANHAZINHO,MA
1953,Santa Fé do Araguaia,TO
1970,São Bento do Tocantins,TO
1996,São Miguel do Tocantins,TO
2011,Novo Airão,AM
2038,Anori,AM
2046,ONM,MA
2054,Atalaia do Norte,AM
2062,PAULINO NEVES,MA
2070,Autazes,AM
2089,Pedro do Rosário,MA
2097,Barcelos,AM
2100,PERITORO,MA
2119,Barreirinha,AM
2127,PORTO RICO DO MARANHÃO/MARANHÃO E PINHEI,MA
2135,Benjamin Constant,AM
2151,Boca do Acre,AM
2178,Borba,AM
2186,RAPOSA,MA
2194,Canutama,AM
2216,Carauari,AM
2232,Careiro,AM
2240,Santana do Maranhão,MA
2259,Coari,AM
2267,SANTO AMARO DO MARANHÃO,MA
2275,Codajás,AM
2283,SAO DOMINGOS DO AZEITAO,MA
2291,Eirunepé,AM
2305,SÃO FRANCISCO DO BREJÃO,MA
2313,Envira,AM
2330,Fonte Boa,AM
2348,SAO JOAO DO PARAISO,MA
2356,Humaitá,AM
2372,Santa Isabel do Rio Negro,AM
2399,Ipixuna,AM
2402,SÃO PEDRO DA AGUA BRANCA,MA
2410,Itacoatiara,AM
2437,Itapiranga,AM
2453,Japurá,AM
2470,Juruá,AM
2488,SATUBINHA,MA
2496,Jutai,AM
2518,Lábrea,AM
2526,SENADOR LA ROCQUE,MA
2534,Manacapuru,AM
2542,SERRANO DO MARANHÃO,MA
2550,Manaus,AM
2577,Manicoré,AM
2585,TRIZIDELA DO VALE,MA
2593,Maraã,AM
2615,Maués,AM
2623,TURILANDIA,MA
2631,Nhamundá,AM
2640,VILA NOVA DOS MARTÍRIOS,MA
2658,Nova Olinda do Norte,AM
2666,ACAUA,PI
2674,Novo Aripuanã,AM
2682,ALVORADA DO GURGUEIA,PI
2690,Parintins,AM
2704,ASSUNCAO DO PIAUI,PI
2712,Pauini,AM
2739,Santo Antônio do Içá,AM
2747,BELA VISTA DO PIAUI,PI
2755,São Paulo de Olivença,AM
2771,Silves,AM
2798,Tapauá,AM
2801,BOA HORA,PI
2810,Tefé,AM
2836,São Gabriel da Cachoeira,AM
2852,Urucará,AM
2860,CAJAZEIRAS DO PIAUI,PI
2879,Urucurituba,AM
2887,CP,PI
2895,Alvarães,AM
2909,CAMPO ALEGRE DO FIDALGO,PI
2917,Amatura,AM
2925,Campo Grande do Piaui,PI
2933,Anama,AM
2950,Beruri,AM
2968,CAPITÃO GERVÁSIO OLIVEIRA,PI
2976,Boa Vista do Ramos,AM
2992,Caapiranga,AM
3018,Boa Vista,RR
3034,Caracaraí,RR
3050,Alto Alegre,RR
3077,Bonfim,RR
3093,Mucajaí,RR
3107,CURRALINHO,PI
3115,Normandia,RR
3131,São João da Baliza,RR
3158,São Luiz,RR
3174,Mateiros,TO
3182,GEMINIANO,PI
3212,Novo Jardim,TO
3220,ILHA GRANDE DO PIAUI,PI
3239,Rio da Conceição,TO
3255,Taipas do Tocantins,TO
3263,JOAO COSTA,PI
3271,Cariri do Tocantins,TO
3298,Jaú do Tocantins,TO
3310,Sandolândia,TO
3336,São Salvador do Tocantins,TO
3344,JUREMA,PI
3352,Sucupira,TO
3379,Abreulândia,TO
3395,Brasilândia do Tocantins,TO
3409,Lagoa do Piauí,PI
3417,Bom Jesus do Tocantins,TO
3425,LAGOA DO SÍTIO,PI
3433,Centenário,TO
3441,MADEIRO,PI
3450,Fortaleza do Tabocão,TO
3476,Itapiratins,TO
3484,MILTON BRANDAO,PI
3492,Juarina,TO
3514,Lajeado,TO
3530,Lagoa do Tocantins,TO
3549,MURICI DOS PORTELAS,PI
3557,Piraquê,TO
3573,Recursolândia,TO
3590,Rio dos Bois,TO
3603,ODP,PI
3611,Santa Maria do Tocantins,TO
3620,PAJEU DO PIAUI,PI
3638,São Félix do Tocantins,TO
3654,Tupiratins,TO
3670,Lagoa da Confusão,TO
3689,PEDRO LAURENTINO,PI
3697,Santa Bárbara do Pará,PA
3719,Santa Luzia do Pará,PA
3727,PORTO ALEGRE DO PIAUI,PI
3735,Terra Alta,PA
3751,Abel Figueiredo,PA
3760,RIBEIRA DO PIAUÍ,PI
3778,Eldorado dos Carajás,PA
3794,Palestina do Pará,PA
3816,São Domingos do Araguaia,PA
3824,SAO GONCALO DO GURGUEIA,PI
3832,Água Azul do Norte,PA
3859,Cumaru do Norte,PA
3867,SÃO JOÃO DA VARJOTA,PI
3875,Pau D´Arco,PA
3891,Aurora do Pará,PA
3913,Nova Esperança do Piriá,PA
3921,SÃO MIGUEL DA BAIXA GRANDE,PI
3930,São João de Piribas,PA
3956,Tailândia,PA
3972,Tucumã,PA
3980,SEBASTIÃO LEAL,PI
3999,Uruará,PA
4014,Abaetetuba,PA
4030,Acará,PA
4057,Afuá,PA
4073,Alenquer,PA
4081,VILA NOVA DO PIAUI,PI
4090,Almeirim,PA
4103,WALL FERRAZ,PI
4111,Altamira,PA
4138,Anajás,PA
4146,CAIÇARA DO NORTE,RN
4154,Ananindeua,PA
4162,FERNANDO PEDROZA,RN
4170,Augusto Corrêa,PA
4189,Itaja,RN
4197,Aveiro,PA
4200,MAJOR SALES,RN
4219,Bagre,PA
4235,Baião,PA
4243,SANTA MARIA,RN
4251,Barcarena,PA
4278,Belém,PA
4294,Benevides,PA
4316,Bonito,PA
4332,Bragança,PA
4340,TENENTE LAURENTINO CRUZ,RN
4359,BREVES,PA
4375,Bujaru,PA
4391,CACHOEIRA DO ARARI,PA
4405,ALCANTIL,PB
4413,Cametá,PA
4421,ALGODÃO DE JANDAIRA,PB
4430,Capanema,PA
4456,Capitão Poco,PA
4464,Aparecida,PB
4472,Castanhal,PA
4480,Areia de Baraunas,PB
4499,CHAVES,PA
4510,Colares,PA
4529,BARAÚNA,PB
4537,Conceição do Araguaia,PA
4553,CURRALINHO,PA
4561,BERNARDINO BATISTA,PB
4570,Curuçá,PA
