10001,CAMARA DOS DEPUTADOS,97012
10002,CAMARA DOS DEPUTADOS - UG P/CONSULTA,97012
10003,CAMARA DOS DEPUTADOS - AUDITORIA,
10004,MESA DA CAMARA DOS DEPUTADOS,
10005,PLENARIO DA CAMARA DOS DEPUTADOS,
10006,SECRETARIA-GERAL DA MESA,
10007,SECRETARIA DE CONTROLE INTERNO,
10008,SECRETARIA DE COMUNICACAO SOCIAL,
10009,LIDERANCAS PARTIDARIAS,
10010,PARTIDOS POLITICOS,
10011,"DIRETORIA-GERAL(GABINETE,ATEC,AUDITORIA)",
10012,DEPARTAMENTO DE APOIO PARLAMENTAR,
10013,DEPARTAMENTO MEDICO,
10014,"CENTRO DE FORMACAO,TREIN.E APERFEICOAMENTO",
10015,COORDENACAO DE HABITACAO,
10016,SECRETARIA EXECUTIVA DO PRO-SAUDE,
10017,DIRETORIA ADM.- GABINETE,
10018,CENTRO DE INFORMATICA,
10019,"DEP.DE FINANCAS,ORCAMENTO E CONTABILIDADE",
10020,DEPARTAMENTO DE MATERIAL E PATRIMONIO,
10021,DEPARTAMENTO DE PESSOAL,
10022,DEPARTAMENTO TECNICO,
10023,DIRETORIA LEGISLATIVA,
10024,CENTRO DE DOCUMENTACAO E INFORMATICA,
10025,CONSULTORIAS LEGISLATIVA E DE ORCAMENTO,
10026,DEPARTAMENTO DE COMISSOES,
10027,COMISSOES PERMANENTES,
10028,COMISSOES PARLAMENTARES DE INQUERITO,
10029,"DEPART. DE TAQUIGRAFIA, REVISAO E REDACAO",
10030,DEPARTAMENTO DE POLICIA LEGISLATIVA,
10031,DIRETORIA DE RECURSOS HUMANOS,
10032,PROCURADORIA PARLAMENTAR,
10033,OUVIDORIA PARLAMENTAR,
10034,COORDENACAO DE RELACOES PUBLICAS,
10035,ASSESSORIA DE PROJETOS ESPECIAIS,
10036,CONSELHO DE ALTOS ESTUDOS E AVAL. TECNOLOGICA,
10037,COORDENACAO DE RELACOES PUBLICAS,
10090,FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS,97012
15873,INST FED.DE EDUC. CIENC.E.TEC.DA PARAIBA,21296
18001,CAMARA DOS DEPUTADOS - DIF. DA INTEGRACAO,
20001,SENADO FEDERAL,97012
20002,CENTRO GRAFICO DO SENADO FEDERAL,97012
20003,CENTRO DE INFORMATICA E PROCES.DE DADOS DO DF,97012
20004,SENADO FEDERAL - UG P/CONSULTA,97012
20005,SENADO FEDERAL - AUDITORIA,97012
20006,PRESIDENCIA DO SENADO FEDERAL,97012
20007,PRIMEIRA SECRETARIA,
20008,DIRETORIA GERAL,
20009,SECRETARIA GERAL DA MESA,
20010,SUBSECRETARIA DE COORD.LEG. DO SENADO FEDERAL,
20011,SUBSECRETARIA DE COORD. LEG. DO CONG.NACIONAL,
20012,SUBSECRETARIA DE EXPEDIENTE,
20013,CONSULTORIA LEGISLATIVA,
20014,CORREGEDORIA DO SENADO FEDERAL,
20015,CONSULTORIA DE ORCAMENTO,
20016,ADVOCACIA DO SENADO FEDERAL,
20017,SECRETARIA DE CONTROLE INTERNO,
20018,SECRETARIA ADMINISTRATIVA,
20019,SUBSECRETARIA DE ADMINISTRACAO FINANCEIRA,
20020,SUBSECRETARIA DE ADM.DE MATERIAL E PATRIMONIO,
20021,"SUBSECRET.DE ADM.DE COMPRAS,CONT.E ALIENACOES",
20022,SUBSECRETARIA DE ADMINISTRACAO DE PESSOAL,
20023,SECRETARIA DE COMUNICACAO SOCIAL,
20024,SUBSECRETARIA DE DIVULGACAO,
20025,SUBSECRETARIA DE RELACOES PUBLICAS,
20026,SECRETARIA DE DOCUMENTACAO E INFORMACAO,
20027,SUBSECRETARIA DE ARQUIVO,
20028,SUBSECRETARIA DE BIBLIOTECA,
20029,SUBSECRETARIA DE ANALISE,
20030,SUBSECRETARIA DE EDICOES TECNICAS,
20031,SECRETARIA LEGISLATIVA,
20032,SUBSECRETARIA DE COMISSOES,
20033,SUBSECRETARIA DE TAQUIGRAFIA,
20034,SUBSECRETARIA DE ATA,
20035,SUBSECRETARIA DE ANAIS,
20036,SECRETARIA DE SERVICOS ESPECIAIS,
20037,SUBSECRETARIA DE SERVICOS GERAIS,
20038,SUBSECRETARIA TECNICA DE ELETRONICA,
20039,SUBSECRETARIA DE ASSISTENCIA MEDICA E SOCIAL,
20040,SUBSECRETARIA DE ENGENHARIA,
20041,REPRESENTACAO DO SEN.FEDERAL NO R.DE JANEIRO,
20042,CENTRO DE DESENVOLV. DE REC. HUMANOS DO S.F.,
20043,GRUPO BRASILEIRO DO PARLAM. LATINO AMERICANO,
20044,GRUPO BRASILEIRO DA ASSOC.INTERPAL.DE TURISMO,
20045,GRUPO BRASILEIRO DA UNIAO INTERPARLAMENTAR,
20046,INSTITUTO DE PREVIDENCIA DOS CONGRESSISTAS,
20047,CONS.DE ETICA E DECORO PARL.-SEC.GER.DA MESA,
20048,CONS. DE COMUNICACAO SOCIAL - SEC.GER.DA MESA,
20049,ASSESSORIA DE PLANEJ. E MODER.ADMINISTRATIVA,
20050,SUBSECRETARIA DE SEGURANCA LEGISLATIVA,
20051,DIRETORIA GERAL - RESERVA TECNICA,
20052,SECRET.DO SISTEMA INTEGRADO DE SAÚDE DO SENAD,97012
20053,SUBSECRETARIA DE TELECOMUNICACOES = SSTEL,
20054,FUNDO ESPECIAL DO SENADO FEDERAL,97012
20055,FUNDO DA SEC. ESP.DE EDITORACAO E PUBLICACOES,97012
20056,SEC. ESP. DE INFORMATICA DO SENADO FEDERAL,97012
20057,INTERLEGIS,
20058,COORDENACAO DE ATIVIDADES EXTERNAS,
20059,SECRETARIA DE FISCALIZACAO E CONTROLE,
20060,SECRETARIA ESPECIAL DO INTERLEGIS,
20061,FORUM INTERPARLAMENTAR DAS AMERICAS,
20070,NPO/CONSULTORIA DO PRODASEN NPO,
20100,SECRET.ESP.DE EDITORACAO E PUBLICACOES SEEP,
20101,SUBSECRETARIA DE APOIO TECNICO,
20102,SUBSECRET.DE ADMINISTRACAO E MATERIAS-PRIMAS,
20103,SUBSECRETARIA INDUSTRIAL,
20104,SUBSECRETARIA DE EDIçOES TECNICAS,
20105,CONSULTORIA JURIDICA,
20106,SERVICO DE ADMINISTRACAO FINANCEIRA,
20107,SERVICO DE AQUISICOES,
20108,SERVICO DE MANUTENCAO TECNICA,
20109,SERVICO DE MANUTENCAO INDUSTRIAL,
20110,SERVICO DE ATIVIDADES ESPECIAIS,
20111,SERVICO DE CONTROLE DE ALMOXARIFADO,
20112,GABINETE DA SEEP,
20113,SERVICO APOIO ADMINIST. E REGISTRO FUNCIONAL,
20114,GABINETE DA SSIND,
20115,GABINETE DA SSMAPR,
20116,GABINETE DA SSATEC,
23005,"COORD. VIG. SANIT. PORTOS, AEROP. E FRONT./RS",88013
26289,GERêNCIA DE FILIAL LOGíSTICA EM RECIFE,25313
27220,FUNDO MUNICIPAL DE SAÚDE DE VALE DO PARAÍSO,9792
28001,SENADO FEDERAL - DIF. DA INTEGRACAO,
30001,TCU-TRIBUNAL DE CONTAS DA UNIAO/DF,97012
30002,SECRETARIA DE CONTROLE EXTERNO NO PARA,4278
30003,TCU/SERC. DE CONTROLE EXTERNO NO MARANHAO,9210
30004,TCU-SECRETARIA DE CONTROLE EXTERNO/PI,12190
30005,TCU/SEC. DE CONTROLE EXTERNO NO CEARA,13897
30006,SECRETARIA CONTROLE EXTERNO NO RIO G DO NORTE,17612
30007,TCU-SECRETARIA DE CONTROLE EXTERNO NA PARAIBA,20516
30008,SECRETARIA DE CONTROLE EXTERNO EM PERNAMBUCO,25313
30009,SECRETARIA DE CONTROLE EXTERNO EM ALAGOAS,27855
30010,SECRETARIA DE CONTROLE EXTERNO EM SERGIPE,31054
30011,SECRETARIA DE CONTROLE EXTERNO NA BAHIA,38490
30012,TCU-SECRETARIA DE CONTROLE EXTERNO/MG,41238
30013,SECRETARIA CONTROLE EXTERNO-TCU/ES,57053
30014,SECRETARIA CONTROLE EXTERNO NO MS,90514
30015,TCU-SECRETARIA CONTROLE EXTERNO/RJ,60011
30016,SECRETARIA DE CONTROLE EXTERNO EM SAO PAULO,71072
30017,SECRETARIA DE CONTROLE EXTERNO NO PARANA,75353
30018,TCU/SEC. CONTROLE EXTERNO - SC,81051
30019,TCU-SECRETARIA DE CONTROLE EXTERNO/RS,88013
30020,SECRETARIA DE CONTROLE EXTERNO NO MT,90670
30021,TCU_SECRETARIA DE CONTROLE EXTERNO/GO,93734
30022,SECRETARIA DE CONTROLE EXTERNO NO AMAZONAS/AM,2550
30023,SECRET.DE CONTROLE EXTER.NO EST.DE/TO,97330
30024,SECRETARIA DE CONTROLE EXTERNO/TCU/AP,6050
30025,SECRETARIA DE CONTROLE EXTERNO ESTADO/RO,35
30026,SECRETARIA DE CONTROLE EXTER.NO EST.DO ACRE,1392
30027,SEC.DE CONT.EXT. NO ESTADO DE RORAIMA,3018
30028,SECRETARIA ADJUNTA DE FISCALIZACAO,97012
30029,BIRD - DOAçãO PARA REFORçO DE MONITORAMENTO,
30100,TRIBUNAL DE JUSTICA DO ESTADO DO RJ,60011
30101,TCU - 1A SECRETARIA DE CONTROLE EXTERNO/DF,97012
30102,TCU - 2A SECRETARIA DE CONTROLE EXTERNO,97012
30103,TCU - 3A SECRETARIA DE CONTROLE EXTERNO/DF,97012
30104,TCU - 4A SECRETARIA DE CONTROLE EXTERNO/DF,97012
30105,TCU - 5A SECRETARIA DE CONTROLE EXTERNO/DF,97012
30106,TCU - 6A SECRETARIA DE CONTROLE EXTERNO/DF,97012
30107,TCU - 7A SECRETARIA DE CONTROLE EXTERNO/DF,97012
30108,TCU - 8A SECRETARIA DE CONTROLE EXTERNO/DF,97012
30109,TCU - 9A SECRETARIA DE CONTROLE EXTERNO/DF,97012
30110,TCU - 10ª SECRETARIA DE CONTROLE EXTERNO,97012
30200,TCU - SECRETARIA DE AUDITORIA E INSPECAO/DF,97012
30201,TCU-SECRET.DE CONTAS DO GOV.E TRNASF.CONSTIT.,
30202,TCU - SECRETARIA DE CONTROLE INTERNO,
30203,INSTITUTO SERZEDELLO CORREA - ISC/TCU,97012
30204,TCU - SECRETARIA DE INFORMATICA,97012
30205,SECRETARIA ADJUNTA DE CONTAS,
30206,SEC.DE FISCALIZACAO E AVAL.DE PROG.DE GOVERNO,
30207,SEC.DE FISCALIZACAO DE OBRAS E PAT.DA UNIAO,
30208,SECRETARIA DE FISCALIZACAO DE PESSOAL,
30209,SECRETARIA DE PLANEJAMENTO E GESTAO,
30999,TRIBUNAL DE CONTAS DA UNIAO-CONTROLE EXTERNO,97012
40001,STF/SUPREMO TRIBUNAL FEDERAL/DF,97012
40002,SECRETARIA DE CONTROLE INTERNO - STF,
40003,CONSELHO NACIONAL DE JUSTICA,97012
40004,SECRETARIA DE ADMINISTRACAO - STF,
40005,SECRETARIA DE TECNOLOGIA DA INFORMACAO - STF,
40006,SECRETARIA DE COMUNICAO SOCIAL - STF,
40007,SECRETARIA DE DOCUMENTACAO - STF,
40008,SECRETARIA DE RECURSOS HUMANOS - STF,
40009,SECRETARIA DE SERVICOS INTREGADOS DE SAUDE,
40010,CONSELHO NACIONAL DE JUSTIÇA,
40011,SECRETARIA DE SEGURANÇA - STF,
40101,CORREGEDORIA GERAL DA JUSTIÇA,57053
50001,STJ _ SUPERIOR TRIBUNAL DE JUSTICA/DF,97012
50002,SETORIAL CONTABIL DO STJ,
50003,SECRETARIA DE CONTROLE INTERNO/STJ,
60001,STM _ SUPERIOR TRIBUNAL MILITAR/DF,97012
60002,AUDITORIA DA 8A. CJM,4278
60003,AUDITORIA DA 10A. CJM / JUSTICA MILITAR - CE,13897
60004,AUDITORIA DA 7A. CJM/PE,25313
60005,AUDITORIA DA 6A. CJM,38490
60006,CJM-AUDITORIA DA 4A. CJM/MG,47333
60007,AUDITORIA DA 9A. CJM/MS,90514
60008,1A. AUDITORIA DE MARINHA DA 1A. CJM,
60009,2A. AUDITORIA DE MARINHA DA 1A. CJM,
60010,1A. AUDITORIA DO EXERCITO DA 1A. CJM,
60011,2A. AUDITORIA DO EXERCITO DA 1A. CJM,
60012,1A. AUDITORIA DA AERONAUTICA DA 1A. CJM,
